top - 11:32:40 up 11 min,  2 users,  load average: 1.77, 1.24, 0.75
Threads: 206 total,   5 running, 201 sleeping,   0 stopped,   0 zombie
%Cpu(s): 94.7 us,  5.3 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3854.5 total,   3425.9 free,    189.4 used,    239.2 buff/cache
MiB Swap:    100.0 total,    100.0 free,      0.0 used.   3496.7 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mmal-vchiq
  229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
  233 root      -2   0       0      0      0 S   0.0   0.0   0:00.24 v3d_bin
  235 root      -2   0       0      0      0 S   0.0   0.0   0:00.27 v3d_render
  236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 brcmf_wq/mmc1:0
  237 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 v3d_tfu
  238 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 v3d_csd
  239 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 v3d_cache_clean
  240 root      20   0       0      0      0 S   0.0   0.0   0:00.06 brcmf_wdog/mmc1
  291 root      20   0       0      0      0 I   0.0   0.0   0:00.41 kworker/u8:3-events_unbound
  296 systemd+  20   0   22380   2812   2228 S   0.0   0.1   0:00.40 systemd-timesyn
  335 systemd+  20   0   22380   2812   2228 S   0.0   0.1   0:00.14 sd-resolve
  336 root      20   0   25512   2836   2528 S   0.0   0.1   0:00.03 rsyslogd
  357 root      20   0   25512   2836   2528 S   0.0   0.1   0:00.02 in:imuxsock
  358 root      20   0   25512   2836   2528 S   0.0   0.1   0:00.00 in:imklog
  360 root      20   0   25512   2836   2528 S   0.0   0.1   0:00.03 rs:main Q:Reg
  338 root      39  19    3692    708    600 S   0.0   0.0   0:00.02 alsactl
  342 message+  20   0    6756   3680   3040 S   0.0   0.1   0:00.25 dbus-daemon
  343 root      20   0   27656     80      0 S   0.0   0.0   0:00.00 rngd
  344 root      20   0   27656     80      0 S   0.0   0.0   0:00.10 rngd
  345 root      20   0   27656     80      0 S   0.0   0.0   0:00.00 rngd
  346 root      20   0   27656     80      0 S   0.0   0.0   0:00.06 rngd
  350 root      20   0   10708   3924   3552 S   0.0   0.1   0:00.05 wpa_supplicant
  351 avahi     20   0    5772   2552   2300 S   0.0   0.1   0:00.06 avahi-daemon
  354 root      20   0   65244  10648   8748 S   0.0   0.3   0:00.44 udisksd
  401 root      20   0   65244  10648   8748 S   0.0   0.3   0:00.00 gmain
  422 root      20   0   65244  10648   8748 S   0.0   0.3   0:00.00 gdbus
  502 root      20   0   65244  10648   8748 S   0.0   0.3   0:00.00 probing-thread
  520 root      20   0   65244  10648   8748 S   0.0   0.3   0:00.00 cleanup
  356 root      20   0   13092   5548   4872 S   0.0   0.1   0:00.24 systemd-logind
